"metadata_total_columns","metadata_columns_with_comment","metadata_columns_without_comment","metadata_pct_coverage","table_name","execution_date"
"39","0","39","0.0","gold_proveedor.proveedor_por_datos_bancarios","2026-03-17"
"97","96","1","98.97","gold_proveedor.proveedor_360","2026-03-17"
